Name,LSFormula,RT,MainIon,Calc Mass,Class,FA,FA Group Key,C,H,N,O,P,S,Formula
PC(20:0e_14:1),C42 H84 O7 N1 P1,12.953,+H,745.5985,PC,20:0e_14:1,34:1e,42,84,1,7,1,,C42H84NO7P
PC(20:1_18:1),C46 H88 O8 N1 P1,13.611,+H,813.6248,PC,20:1_18:1,38:2,46,88,1,8,1,,C46H88NO8P
PC(22:1_12:1),C42 H80 O8 N1 P1,26.938,+H,757.5622,PC,22:1_12:1,34:2,42,80,1,8,1,,C42H80NO8P
PC(25:1_8:0),C41 H80 O8 N1 P1,10.14,+H,745.5622,PC,25:1_8:0,33:1,41,80,1,8,1,,C41H80NO8P
PC(32:2),C40 H76 O8 N1 P1,10.578,+H,729.5309,PC,32:2,32:2,40,76,1,8,1,,C40H76NO8P
PC(34:1),C42 H82 O8 N1 P1,26.944,+H,759.5778,PC,34:1,34:1,42,82,1,8,1,,C42H82NO8P
PC(34:1),C42 H82 O8 N1 P1,27.535,+H,759.5778,PC,34:1,34:1,42,82,1,8,1,,C42H82NO8P
PC(34:2),C42 H80 O8 N1 P1,11.527,+H,757.5622,PC,34:2,34:2,42,80,1,8,1,,C42H80NO8P
PC(36:1),C44 H86 O8 N1 P1,14.961,+H,787.6091,PC,36:1,36:1,44,86,1,8,1,,C44H86NO8P
PC(36:1e),C44 H88 O7 N1 P1,15.269,+H,773.6298,PC,36:1e,36:1e,44,88,1,7,1,,C44H88NO7P
PC(36:2),C44 H84 O8 N1 P1,27.12,+H,785.5935,PC,36:2,36:2,44,84,1,8,1,,C44H84NO8P
PC(38:2),C46 H88 O8 N1 P1,14.338,+H,813.6248,PC,38:2,38:2,46,88,1,8,1,,C46H88NO8P
PC(4:0_12:0),C24 H48 O8 N1 P1,1.41,+H,509.3118,PC,4:0_12:0,16:0,24,48,1,8,1,,C24H48NO8P
PC(6:0_11:3),C25 H44 O8 N1 P1,1.133,+H,517.2805,PC,6:0_11:3,17:3,25,44,1,8,1,,C25H44NO8P
PC(6:0_22:1),C36 H70 O8 N1 P1,6.013,+H,675.4839,PC,6:0_22:1,28:1,36,70,1,8,1,,C36H70NO8P
PC(8:0_10:1),C26 H50 O8 N1 P1,1.557,+H,535.3274,PC,8:0_10:1,18:1,26,50,1,8,1,,C26H50NO8P
PC(8:0_22:3),C38 H70 O8 N1 P1,6.22,+H,699.4839,PC,8:0_22:3,30:3,38,70,1,8,1,,C38H70NO8P
PC(8:0_24:2),C40 H76 O8 N1 P1,7.592,+H,729.5309,PC,8:0_24:2,32:2,40,76,1,8,1,,C40H76NO8P
PC(8:0_24:2),C40 H76 O8 N1 P1,7.69,+H,729.5309,PC,8:0_24:2,32:2,40,76,1,8,1,,C40H76NO8P
PC(8:0_24:2),C40 H76 O8 N1 P1,26.909,+H,729.5309,PC,8:0_24:2,32:2,40,76,1,8,1,,C40H76NO8P
PC(8:0e_10:0),C26 H54 O7 N1 P1,3.883,+H,523.3638,PC,8:0e_10:0,18:0e,26,54,1,7,1,,C26H54NO7P
PC(8:0e_8:0),C24 H50 O7 N1 P1,3.042,+H,495.3325,PC,8:0e_8:0,16:0e,24,50,1,7,1,,C24H50NO7P
PC(8:1e_10:1),C26 H50 O7 N1 P1,2.326,+H,519.3325,PC,8:1e_10:1,18:2e,26,50,1,7,1,,C26H50NO7P
PC(8:1e_8:0),C24 H48 O7 N1 P1,2.105,+H,493.3168,PC,8:1e_8:0,16:1e,24,48,1,7,1,,C24H48NO7P
PC(8:1e_9:0),C25 H50 O7 N1 P1,2.672,+H,507.3325,PC,8:1e_9:0,17:1e,25,50,1,7,1,,C25H50NO7P
PC(9:0_9:0),C26 H52 O8 N1 P1,1.782,+H,537.3431,PC,9:0_9:0,18:0,26,52,1,8,1,,C26H52NO8P
PE(10:0e_6:0),C21 H44 O7 N1 P1,2.115,+H,453.2855,PE,10:0e_6:0,16:0e,21,44,1,7,1,,C21H44NO7P
PE(10:0e_6:0),C21 H44 O7 N1 P1,3.126,+H,453.2855,PE,10:0e_6:0,16:0e,21,44,1,7,1,,C21H44NO7P
PE(10:0e_6:0),C21 H44 O7 N1 P1,3.647,+H,453.2855,PE,10:0e_6:0,16:0e,21,44,1,7,1,,C21H44NO7P
PE(10:0p_6:0),C21 H42 O7 N1 P1,1.549,+H,451.2699,PE,10:0p_6:0,16:0p,21,42,1,7,1,,C21H42NO7P
PE(10:0p_6:0),C21 H42 O7 N1 P1,2.19,+H,451.2699,PE,10:0p_6:0,16:0p,21,42,1,7,1,,C21H42NO7P
PE(10:0p_6:0),C21 H42 O7 N1 P1,2.767,+H,451.2699,PE,10:0p_6:0,16:0p,21,42,1,7,1,,C21H42NO7P
PE(10:1e_10:0),C25 H50 O7 N1 P1,4.103,+H,507.3325,PE,10:1e_10:0,20:1e,25,50,1,7,1,,C25H50NO7P
PE(12:0p_22:0),C39 H78 O7 N1 P1,13.428,+H,703.5516,PE,12:0p_22:0,34:0p,39,78,1,7,1,,C39H78NO7P
PE(12:0p_24:0),C41 H82 O7 N1 P1,15.561,+H,731.5829,PE,12:0p_24:0,36:0p,41,82,1,7,1,,C41H82NO7P
PE(12:0p_24:0),C41 H82 O7 N1 P1,16.571,+H,731.5829,PE,12:0p_24:0,36:0p,41,82,1,7,1,,C41H82NO7P
PE(12:0p_24:1),C41 H80 O7 N1 P1,13.315,+H,729.5672,PE,12:0p_24:1,36:1p,41,80,1,7,1,,C41H80NO7P
PE(12:0p_6:0),C23 H46 O7 N1 P1,2.065,+H,479.3012,PE,12:0p_6:0,18:0p,23,46,1,7,1,,C23H46NO7P
